Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
Synthetic,cuda-basic-4,32,14.5288,14.3744,14.4429,43.085758,28.796,37.9033
Synthetic,cuda-opt,2,862.252991,858.409546,860.873,885.155823,28.824833,454.534
Synthetic,cuda-opt,4,148.005447,147.584167,147.738,176.703705,162.086105,164.48
Synthetic,cuda-opt,8,25.36656,25.14592,25.2549,52.083393,39.526142,42.9753
Synthetic,cuda-opt,16,12.324896,12.120256,12.2017,40.889278,26.558144,32.7758
Synthetic,cuda-opt,32,14.589728,14.41872,14.4777,43.059681,28.824833,31.99
Synthetic,cuda-opt-dp-bf,2,857.535339,853.013306,855.321,876.547852,28.248928,453.268
Synthetic,cuda-opt-dp-bf,4,145.966873,145.266815,145.64,174.460999,159.818588,169.434
Synthetic,cuda-opt-dp-bf,8,25.159103,24.667583,24.856,53.666817,39.080799,45.4256
Synthetic,cuda-opt-dp-bf,16,12.968672,12.327808,12.6072,41.547359,26.81344,33.2723
Synthetic,cuda-opt-dp-bf,32,14.065632,13.811808,13.9252,42.732479,28.248928,35.1836
Synthetic,cuda-opt-nodp,2,870.456116,862.010681,866.773,887.578308,30.709951,461.395
Synthetic,cuda-opt-nodp,4,143.599686,140.671097,141.977,172.199387,155.193436,159.979
Synthetic,cuda-opt-nodp,8,27.313152,25.853216,26.4713,56.311424,40.349472,46.5965
Synthetic,cuda-opt-nodp,16,14.799456,13.935808,14.3347,43.723713,28.428864,35.1144
Synthetic,cuda-opt-nodp,32,16.870527,16.159103,16.5938,45.530655,30.709951,40.7518
Tree,cuda-basic,2,1166.577881,1162.604492,1164.84,1179.154297,26.293377,604.943
Tree,cuda-basic,4,248.161606,246.656158,247.272,262.532349,253.882431,256.9
Tree,cuda-basic,8,48.074017,47.406017,47.8283,63.737057,55.142849,61.464
Tree,cuda-basic,16,18.621216,18.534241,18.5772,34.106911,25.755039,28.349
Tree,cuda-basic,32,19.434464,19.114016,19.2839,35.159039,26.293377,33.0381
Tree,cuda-basic-4,2,253.047256,250.439331,251.831,259.661102,17.263935,138.232
Tree,cuda-basic-4,4,51.793888,51.182976,51.4863,58.45216,54.841183,57.4569
Tree,cuda-basic-4,8,14.626048,14.516512,14.5709,20.823423,18.053185,19.0203
Tree,cuda-basic-4,16,12.834432,12.594272,12.7047,19.404863,16.102688,17.1885
Tree,cuda-basic-4,32,11.973728,11.720704,11.8329,18.806175,17.263935,18.3448
Tree,cuda-opt,2,250.674652,248.26329,249.462,257.02475,15.690304,136.393
Tree,cuda-opt,4,51.470463,51.071327,51.2857,58.055328,54.700768,56.6594
Tree,cuda-opt,8,14.32512,14.257408,14.2934,20.899616,17.784,19.2839
Tree,cuda-opt,16,10.969152,10.757984,10.8463,17.567072,14.370816,16.8441
Tree,cuda-opt,32,12.472448,12.095488,12.244,18.984863,15.690304,17.4692
Tree,cuda-opt-dp-bf,2,250.403168,248.414749,249.397,257.14563,15.596576,136.292
Tree,cuda-opt-dp-bf,4,51.48035,51.058079,51.2389,58.054401,54.60947,55.9469
Tree,cuda-opt-dp-bf,8,14.340224,14.261696,14.2905,20.959969,17.744768,19.6592
Tree,cuda-opt-dp-bf,16,10.961152,10.734208,10.8708,17.507168,14.32784,16.4077
Tree,cuda-opt-dp-bf,32,12.52992,12.07056,12.3237,19.016895,15.596576,17.9319
Tree,cuda-opt-nodp,2,242.934021,237.533188,240.723,249.564255,13.98832,130.727
Tree,cuda-opt-nodp,4,48.369312,46.249249,47.6296,55.05917,49.821793,52.9244
Tree,cuda-opt-nodp,8,14.7464,13.808192,14.1642,21.500896,17.362305,18.81
Tree,cuda-opt-nodp,16,10.94464,10.349728,10.6396,17.576063,13.894784,15.4623
Tree,cuda-opt-nodp,32,10.897856,10.450016,10.6667,17.489216,13.98832,15.533
