Test,Code,block size,Max Kernel,Min Kernel,Avg Kernel,Max GPU Time,Min GPU Time,Avg GPU Time
zord-lss,cuda-opt-nodp,8,27.333216,25.882977,26.3128,55.808064,40.394367,44.6953
zord-lss,cuda-opt-nodp,16,14.802912,13.931744,14.2008,43.450047,28.443359,32.6087
zord-lss,cuda-opt-nodp,32,16.775616,16.137280,16.4222,45.494751,30.271263,36.1513
zord-lss,cuda-basic,2,1163.414185,1157.622192,1160.74,1175.631836,26.243040,599.946
zord-lss,cuda-basic,4,247.929306,245.368576,246.095,263.406616,252.866272,256.166
zord-lss,cuda-basic,8,48.062111,47.291935,47.5876,63.673759,54.611073,59.8786
zord-lss,cuda-basic,16,18.606016,18.512545,18.5497,34.173344,25.745760,27.7656
zord-lss,cuda-basic,32,19.656128,18.971041,19.1592,35.010048,26.243040,29.5604
zord-lss,cuda-basic-4,2,252.301666,248.203171,250.149,258.888031,15.123712,136.068
zord-lss,cuda-basic-4,4,51.697216,50.897217,51.2337,58.280865,54.484482,56.3607
zord-lss,cuda-basic-4,8,14.642304,14.541664,14.5788,21.221249,18.122145,19.6039
zord-lss,cuda-basic-4,16,13.022944,12.578368,12.7336,19.758528,16.118561,17.7823
zord-lss,cuda-basic-4,32,11.992992,11.493728,11.7943,18.709663,15.123712,17.5853
zord-lss,cuda-opt,2,250.137756,246.730713,248.09,256.715637,15.617952,135.054
zord-lss,cuda-opt,4,51.468513,50.807137,51.0905,58.102623,54.354271,56.0229
zord-lss,cuda-opt,8,14.332800,14.243712,14.297,20.986431,17.810720,19.9301
zord-lss,cuda-opt,16,10.894144,10.756512,10.8427,17.584192,14.364096,15.7411
zord-lss,cuda-opt,32,12.510080,12.062208,12.2537,19.263168,15.617952,17.3112
zord-lss,cuda-opt-dp-bf,2,250.240891,247.339035,249.084,256.801270,15.691168,136.037
zord-lss,cuda-opt-dp-bf,4,51.499393,50.798752,50.9918,58.055298,54.333920,55.3768
zord-lss,cuda-opt-dp-bf,8,14.350656,14.245792,14.2935,21.089249,17.811041,19.3489
zord-lss,cuda-opt-dp-bf,16,10.927040,10.796800,10.86,17.464960,14.374816,16.2865
zord-lss,cuda-opt-dp-bf,32,12.427840,12.059968,12.2609,19.041985,15.691168,17.0796
zord-lss,cuda-opt-nodp,2,243.358749,236.652512,239.154,248.964005,14.029312,129.461
zord-lss,cuda-opt-nodp,4,48.074368,46.208065,47.3917,54.736095,49.800129,52.8878
zord-lss,cuda-opt-nodp,8,14.860576,13.831200,14.2957,21.540672,17.373600,19.3335
zord-lss,cuda-opt-nodp,16,10.966016,10.379744,10.5695,17.669600,13.935936,15.0551
zord-lss,cuda-opt-nodp,32,10.913408,10.423712,10.6204,17.586657,14.029312,15.0085
